register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?75990167065,Estació de Servei BP Dani,172403,Carrer de Joan Güell,203,19,les Corts,4,Les Corts,8028,Barcelona,TRUE,63735069,Benzineres,Planol BCN >> Transports i serveis relacionats >> Serveis relacionats >> Benzineres,651,6.5103E+13,427228.165,4581979.718,41.38605502,2.129620459
?99400601326,"Zona de Càrrega i Descàrrega * C Doctor Ferran, 18",101700,C Doctor Ferran,18,21,Pedralbes,4,Les Corts,8034,BARCELONA,TRUE,,,,,,426792.6875,4582446.429,41.39021897,2.124356159
?99400601327,"Zona de Càrrega i Descàrrega * Av Josep Tarradellas, 133",162002,Av Josep Tarradellas,133,19,les Corts,4,Les Corts,8029,BARCELONA,TRUE,,,,,,428379.22,4582434.456,41.39025397,2.143332275
?99400601334,"Zona de Càrrega i Descàrrega * C Lloret de Mar, 88",186204,C Lloret de Mar,88,43,Horta,7,Horta-Guinardó,8031,BARCELONA,TRUE,,,,,,429651.4736,4587533.603,41.43629231,2.157955403
?99400600923,"Zona de Càrrega i Descàrrega * C Cartellà, 177",69109,C Cartellà,177,43,Horta,7,Horta-Guinardó,8031,BARCELONA,TRUE,,,,,,430209.2943,4586886.647,41.43051411,2.164706322
?99400600926,"Zona de Càrrega i Descàrrega * C Salvà, 34",294207,C Salvà,34,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,TRUE,,,,,,430243.2123,4580541.524,41.37336875,2.165843396
?99400600930,"Zona de Càrrega i Descàrrega * Pg Marítim de la Barceloneta, 37",197903,Passeig Marítim de la Barceloneta - Oriol Bohigas,37,3,la Barceloneta,1,Ciutat Vella,8003,Barcelona,TRUE,,,,,,432782.9724,4581802.392,41.38494121,2.196071262
?99400600931,"Zona de Càrrega i Descàrrega * C Pare Pérez del Pulgar, 7",239606,C Pare Pérez del Pulgar,7,57,la Trinitat Vella,9,Sant Andreu,8033,BARCELONA,TRUE,,,,,,432351.237,4589463.63,41.45390735,2.190051211
?99400602122,"Zona de Càrrega i Descàrrega * C Ganduxer, 92",139805,C Ganduxer,92,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,TRUE,,,,,,427595.5604,4583485.223,41.39964763,2.133834184
?99400602130,"Zona de Càrrega i Descàrrega * C Cal Cisó, 70",701694,C Cal Cisó,70,12,la Marina del Prat Vermell,3,Sants-Montjuïc,8038,BARCELONA,TRUE,,,,,,428328.7755,4578113.854,41.35133534,2.143239698
?99400602453,"Zona de Càrrega i Descàrrega * Rbla Prat, 3",265708,Rbla Prat,3,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,TRUE,,,,,,429161.7542,4583706.32,41.40177848,2.152542516
?99400602456,"Zona de Càrrega i Descàrrega * C Aribau, 296",23403,C Aribau,296,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,,,,,,428654.9042,4583359.678,41.3986116,2.146520424
?99400602457,"Zona de Càrrega i Descàrrega * C Gran de Gràcia, 25",206403,C Gran de Gràcia,25,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,TRUE,,,,,,429508.4699,4583363.422,41.3987206,2.156729866
?99400602459,"Zona de Càrrega i Descàrrega * C Buenos Aires, 42",51205,C Buenos Aires,42,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,,,,,,428680.8111,4582677.458,41.3924694,2.146910656
?99400602464,"Zona de Càrrega i Descàrrega * C Còrsega, 241",90502,C Còrsega,241,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,,,,,,429249.0395,4582671.353,41.3924646,2.153707558
?99400602468,"Zona de Càrrega i Descàrrega * C Casanova, 198",70607,C Casanova,198,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,,,,,,428983.9681,4582598.737,41.39178721,2.150545737
?99400602470,"Zona de Càrrega i Descàrrega * C Santaló, 23",318804,C Santaló,23,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,BARCELONA,TRUE,,,,,,428639.9684,4582986.038,41.39524504,2.146385804
?99400602326,"Zona de Càrrega i Descàrrega * C Rosselló, 282",289105,C Rosselló,282,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,TRUE,,,,,,430219.495,4583398.712,41.39910046,2.165230718
?99400602330,"Zona de Càrrega i Descàrrega * C Mallorca, 290",191204,C Mallorca,290,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,TRUE,,,,,,430310.7531,4583112.838,41.3965336,2.166355213
?99400602333,"Zona de Càrrega i Descàrrega * C Ramon Turró, 159",110009,C Ramon Turró,159,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,,,,,,433155.4615,4583265.636,41.39815132,2.200364396
