Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2024,10013,3,4,dissabte,3301
2024,10013,3,5,diumenge,2485
2024,10013,4,1,dilluns,4081
2024,10013,4,2,laborables,4021
2024,10013,4,3,divendres,4037
2024,10013,4,4,dissabte,3788
2024,10013,4,5,diumenge,2692
2024,10013,5,1,dilluns,4107
2024,10013,5,2,laborables,4147
2024,10013,5,3,divendres,4202
2024,10013,5,4,dissabte,3738
2024,10013,5,5,diumenge,2876
2024,10013,6,1,dilluns,4043
2024,10013,6,2,laborables,4159
2024,10013,6,3,divendres,4169
2024,10013,6,4,dissabte,3525
2024,10013,6,5,diumenge,2712
2024,10013,7,1,dilluns,Mesura no disponible
2024,10013,7,2,laborables,Mesura no disponible
2024,10013,7,3,divendres,Mesura no disponible
2024,10013,7,4,dissabte,Mesura no disponible
2024,10013,7,5,diumenge,Mesura no disponible
2024,10013,8,1,dilluns,Mesura no disponible
2024,10013,8,2,laborables,Mesura no disponible
2024,10013,8,3,divendres,Mesura no disponible
2024,10013,8,4,dissabte,Mesura no disponible
2024,10013,8,5,diumenge,Mesura no disponible
2024,10013,9,1,dilluns,Mesura no disponible
2024,10013,9,2,laborables,Mesura no disponible
2024,10013,9,3,divendres,Mesura no disponible
2024,10013,9,4,dissabte,Mesura no disponible
2024,10013,9,5,diumenge,Mesura no disponible
2024,10013,10,1,dilluns,Mesura no disponible
2024,10013,10,2,laborables,Mesura no disponible
2024,10013,10,3,divendres,Mesura no disponible
2024,10013,10,4,dissabte,Mesura no disponible
2024,10013,10,5,diumenge,Mesura no disponible
2024,10013,11,1,dilluns,Mesura no disponible
2024,10013,11,2,laborables,Mesura no disponible
2024,10013,11,3,divendres,Mesura no disponible
2024,10013,11,4,dissabte,Mesura no disponible
2024,10013,11,5,diumenge,Mesura no disponible
2024,10013,12,1,dilluns,3462
2024,10013,12,2,laborables,3556
2024,10013,12,3,divendres,3541
2024,10013,12,4,dissabte,3119
2024,10013,12,5,diumenge,2496
2024,10014,1,1,dilluns,3414
2024,10014,1,2,laborables,3515
2024,10014,1,3,divendres,3554
2024,10014,1,4,dissabte,3165
2024,10014,1,5,diumenge,2375
2024,10014,2,1,dilluns,3321
2024,10014,2,2,laborables,3510
2024,10014,2,3,divendres,3805
2024,10014,2,4,dissabte,3145
2024,10014,2,5,diumenge,2498
2024,10014,3,1,dilluns,3371
2024,10014,3,2,laborables,3507
2024,10014,3,3,divendres,3763
2024,10014,3,4,dissabte,3205
2024,10014,3,5,diumenge,2500
2024,10014,4,1,dilluns,3597
2024,10014,4,2,laborables,3643
2024,10014,4,3,divendres,3874
2024,10014,4,4,dissabte,3580
2024,10014,4,5,diumenge,2752
2024,10014,5,1,dilluns,3607
2024,10014,5,2,laborables,3662
2024,10014,5,3,divendres,4054
2024,10014,5,4,dissabte,3405
2024,10014,5,5,diumenge,2855
2024,10014,6,1,dilluns,3550
2024,10014,6,2,laborables,3661
2024,10014,6,3,divendres,3902
2024,10014,6,4,dissabte,3373
2024,10014,6,5,diumenge,2660
2024,10014,7,1,dilluns,3569
2024,10014,7,2,laborables,3648
2024,10014,7,3,divendres,3806
2024,10014,7,4,dissabte,3415
2024,10014,7,5,diumenge,2933
2024,10014,8,1,dilluns,3373
2024,10014,8,2,laborables,3317
2024,10014,8,3,divendres,3500
2024,10014,8,4,dissabte,3245
2024,10014,8,5,diumenge,2775
2024,10014,9,1,dilluns,3536
2024,10014,9,2,laborables,3549
2024,10014,9,3,divendres,3832
2024,10014,9,4,dissabte,3180
2024,10014,9,5,diumenge,2478
2024,10014,10,1,dilluns,Mesura no disponible
