register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400603217,"Parada de taxis * C Torre Melina, 2",700761,C Torre Melina,2,,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,425498.1813,4581525.942,41.38180971,2.108987347
?99400603224,"Parada de taxis * C Comte d'Urgell, 154",349706,C Comte d'Urgell,154,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429229.3669,4581956.775,41.38602692,2.153555753
?99400603225,"Parada de taxis * Ctra Vallvidrera al Tibidabo, 27",335654,Ctra Vallvidrera al Tibidabo,27,,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8035,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,426482.4906,4586392.806,41.42573386,2.120166853
?99400603226,"Parada de taxis * Pl Sant Gregori Taumaturg, 1",302702,Pl Sant Gregori Taumaturg,1,,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,427942.3842,4582944.802,41.39481144,2.138047057
?99400603229,"Parada de taxis * C Mallorca, 400",191204,C Mallorca,400,,6,la Sagrada Família,2,Eixample,8013,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430962.1017,4583786.951,41.40266131,2.174069199
?99400603230,"Parada de taxis * Pg Sant Antoni, 55",296406,Pg Sant Antoni,55,,18,Sants,3,Sants-Montjuïc,8014,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428208.031,4581204.808,41.37916374,2.141430578
?99400603181,"Parada de taxis * C Tamarit, 138",329902,C Tamarit,138,,10,Sant Antoni,2,Eixample,8015,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429742.3691,4581018.317,41.37761951,2.15979963
?99400603187,"Parada de taxis * C Rambla, 134",34308,C Rambla,134,,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430664.391,4581808.336,41.38481494,2.170734443
?99400603195,"Parada de taxis * C Buenos Aires, 20",51205,C Buenos Aires,20,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8029,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428599.0699,4582564.29,41.39144288,2.145946348
?99400603196,"Parada de taxis * G.V. Corts Catalanes, 660",169409,G.V. Corts Catalanes,660,,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430691.0836,4582514.81,41.39118023,2.170972829
?99400603197,"Parada de taxis * C Tuset, 20",348408,C Tuset,20,,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429112.0328,4583059.889,41.39595194,2.152023434
?99400603199,"Parada de taxis * C Loreto, 34",180900,C Loreto,34,,19,les Corts,4,Les Corts,8029,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428279.078,4582454.959,41.39042971,2.142132161
?99400603201,"Parada de taxis * C València, 112",350308,C València,112,,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429032.0489,4581696.68,41.38366696,2.151226466
?99400603232,"Parada de taxis * Pl Francesc Macià, 10",55807,Pl Francesc Macià,10,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428528.9625,4582696.692,41.39262916,2.145092233
?99400603236,"Parada de taxis * Rda Litoral (Besòs), 114",701265,Rda Litoral (Besòs),114,,12,la Marina del Prat Vermell,3,Sants-Montjuïc,8038,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431045.1256,4580257.151,41.37087659,2.175464117
?99400603248,"Parada de taxis * C Europa, 14",118306,C Europa,14,,19,les Corts,4,Les Corts,8028,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,427181.8678,4582059.144,41.38676619,2.129057241
?99400603250,"Parada de taxis * C Mas Casanovas, 71",192604,C Mas Casanovas,71,,35,el Guinardó,7,Horta-Guinardó,8041,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430946.5095,4585192.767,41.41532167,2.173722262
